spot@sudeeps-mbp streaming-02-multiple-processes % python3 process_streaming_harinyapotluri.py > out9.txt
2024-05-15 12:39:10,598 - INFO - ===============================================
2024-05-15 12:39:10,598 - INFO - Starting fake streaming process.
2024-05-15 12:39:10,598 - INFO - Starting to stream data from SAT__College_Board__2010_School_Level_Results_20240506.csv to ('localhost', 9999).
2024-05-15 12:39:10,598 - INFO - Opened for reading: SAT__College_Board__2010_School_Level_Results_20240506.csv.
2024-05-15 12:39:10,598 - INFO - Opened for writing: out9.txt.
2024-05-15 12:39:10,599 - INFO - Skipped header row: ['DBN', 'School Name', 'Number of Test Takers', 'Critical Reading Mean', 'Mathematics Mean', 'Writing Mean']
2024-05-15 12:39:10,607 - INFO - Sent: b'[02M439, MANHATTAN VILLAGE ACADEMY , 90, 465, 479, 472]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,607 - INFO - Sent: b'[02M440, Bayard Rustin High School Humanities , 136, 387, 394, 379]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,607 - INFO - Sent: b'[02M445, Seward Park High School , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M449, VANGUARD HIGH SCHOOL , 54, 367, 395, 373]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M459, MANHATTAN INTERNATIONAL HIGH SCHOOL , 31, 418, 463, 415]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M460, WASHINGTON IRVING HIGH SCHOOL , 163, 381, 385, 368]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M473, YABC at Washington Irving High School , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,608 - INFO - Sent: b'[02M475, STUYVESANT HIGH SCHOOL , 804, 674, 735, 678]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M489, HS of Economics And Finance , 147, 451, 503, 453]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M500, UNITY HIGH SCHOOL , 31, 371, 369, 368]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M519, TALENT UNLIMITED HIGH SCHOOL , 124, 465, 454, 461]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M520, MURRY BERGTRAUM HIGH SCHOOL , 287, 411, 439, 396]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M529, Jacqueline Kennedy Onassis High School , 88, 420, 424, 398]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,609 - INFO - Sent: b'[02M531, NEW YORK CITY PUB SCH REP COMP , 32, 415, 405, 397]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M535, Park West High School , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M542, MANHATTAN BRIDGE HIGH SCHOOL , 31, 345, 380, 325]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M543, NEW DESIGN HIGH SCHOOL , 74, 390, 385, 387]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M544, INDEPENDENCE HIGH SCHOOL , 16, 404, 419, 395]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M545, Dual Language and Asian Studies High School , 47, 416, 612, 419]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M550, Liberty High School Academy for Newcomers , 32, 343, 465, 362]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,610 - INFO - Sent: b'[02M551, New York Harbor High School , 54, 372, 369, 368]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,611 - INFO - Sent: b'[02M560, City as School , 57, 468, 441, 434]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,611 - INFO - Sent: b'[02M565, URBAN ACADEMY , 34, 513, 460, 502]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,611 - INFO - Sent: b'[02M570, Satellite Academy High School , 16, 400, 336, 376]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,611 - INFO - Sent: b'[02M575, Manhattan Comprehensive Night Day High School , 141, 355, 475, 339]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,611 - INFO - Sent: b'[02M580, Richard R Green High School of Teaching , 79, 425, 429, 419]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,611 - INFO - Sent: b'[02M586, HARVEY MILK SCHOOL , 11, 429, 382, 416]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,612 - INFO - Sent: b'[02M600, HIGH SCHOOL FASHION INDUSTRIES , 301, 419, 420, 413]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,612 - INFO - Sent: b'[02M605, HUMANITIES PREPARATORY ACADEMY , 37, 433, 405, 417]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,612 - INFO - Sent: b'[02M615, Chelsea Career and Technical Education High School , 61, 393, 412, 376]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,612 - INFO - Sent: b'[02M620, NORMAN THOMAS HIGH SCHOOL , 152, 378, 387, 370]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,612 - INFO - Sent: b'[02M625, HS of Graphic Commnctn And Art , 125, 370, 378, 360]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,612 - INFO - Sent: b'[02M630, HIGH SCHOOL OF ART AND DESIGN , 212, 427, 423, 418]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,613 - INFO - Sent: b'[02M655, LIFE SCIENCES SECONDARY SCHOOL , 71, 399, 389, 383]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,613 - INFO - Sent: b'[02M690, SCHOOL FOR THE PHYSICAL CITY , 14, 382, 404, 359]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,613 - INFO - Sent: b'[03M283, MANHATTAN THEATRE LAB HIGH SCHOOL , 23, 406, 378, 391]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,613 - INFO - Sent: b'[03M299, High School For Arts, Imagination And Inquiry , 57, 364, 378, 357]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,613 - INFO - Sent: b'[03M307, Urban Assembly School For Media Studies , 53, 374, 363, 377]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,613 - INFO - Sent: b'[03M404, INNOVATION DIPLOMA PLUS HIGH SCHOOL , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,613 - INFO - Sent: b'[03M415, WADLEIGH SECONDARY SCHOOL , 68, 376, 373, 371]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,614 - INFO - Sent: b'[03M470, LOUIS D BRANDEIS HIGH SCHOOL , 170, 357, 357, 345]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,614 - INFO - Sent: b'[03M479, BEACON SCHOOL , 237, 573, 563, 575]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,614 - INFO - Sent: b'[03M485, LAGUARDIA HIGH SCH MUSIC ART , 594, 558, 555, 567]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,614 - INFO - Sent: b'[03M494, Martin Luther King Jr HS Arts and Technology , 60, 407, 425, 397]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,614 - INFO - Sent: b'[03M505, Edward A. Reynolds West Side High School , 18, 410, 407, 388]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,614 - INFO - Sent: b'[03M541, MANHATTAN/HUNTER COLL HS SCI , 80, 481, 525, 469]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,615 - INFO - Sent: b'[03M860, FREDERICK DOUGLAS ACADEMY II , 33, 414, 410, 406]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,615 - INFO - Sent: b'[04M409, COALITION SCH SOCIAL CHANGE , 39, 390, 372, 383]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,615 - INFO - Sent: b'[04M435, Manhattan Center for Science and Math , 312, 485, 531, 475]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,615 - INFO - Sent: b'[04M495, PARK EAST HIGH SCHOOL , 46, 360, 374, 362]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,615 - INFO - Sent: b'[04M555, CENTRAL PARK SECONDARY SCHOOL , 35, 362, 378, 356]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,615 - INFO - Sent: b'[04M610, YOUNG WOMEN LEADERSHIP SCHOOL , 48, 451, 445, 470]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,615 - INFO - Sent: b"[04M610, Young Women's Leadership School of Astoria , , , , ]" on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,616 - INFO - Sent: b'[04M635, Academy of Environment Science Secondary School , 39, 380, 385, 354]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,616 - INFO - Sent: b'[04M680, HERITAGE SCHOOL , 47, 369, 385, 361]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,616 - INFO - Sent: b'[04M695, URBAN PEACE ACADEMY , 23, 366, 382, 362]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,616 - INFO - Sent: b'[05M285, HARLEM RENAISSANCE HIGH SCHOOL , 19, 402, 394, 367]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,616 - INFO - Sent: b'[05M304, MOTT HALL HIGH SCHOOL , 63, 424, 421, 410]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,616 - INFO - Sent: b'[05M367, Academy for Social Action , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,616 - INFO - Sent: b'[05M369, URBAN ASSEMBLY SCHOOL FOR THE PERFORMIN , 34, 349, 370, 363]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,617 - INFO - Sent: b'[05M469, CHOIR ACADEMY OF HARLEM , 16, 420, 369, 401]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,617 - INFO - Sent: b'[05M499, FREDERICK DOUGLASS ACADEMY , 216, 465, 481, 466]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,617 - INFO - Sent: b'[05M670, THURGOOD MARSHALL ACADEMY , 52, 423, 434, 404]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,617 - INFO - Sent: b'[05M685, Bread & Rose Intergrated Arts High School , 54, 364, 378, 359]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,617 - INFO - Sent: b'[05M692, High School For Math Science Engineering City Coll , 106, 592, 627, 575]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,617 - INFO - Sent: b'[06M293, MS 293 City College Academy of the Arts , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,618 - INFO - Sent: b'[06M346, Community Health Academy Heights , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,618 - INFO - Sent: b'[06M348, MS 348 Washington Heights Expeditionary Learning S , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,618 - INFO - Sent: b'[06M457, YABC AT G. WASHINGTON EDUCATIONAL CAMPUS , , , , ]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,618 - INFO - Sent: b'[06M462, HIGH SCHOOL FOR INTL BUS/FIN , 56, 383, 384, 379]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,618 - INFO - Sent: b'[06M463, HS for Media and Communications-George Washingto , 75, 366, 376, 353]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,618 - INFO - Sent: b'[06M467, High School for Law and Public Service , 106, 388, 388, 378]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,619 - INFO - Sent: b'[06M468, HIGH SCHOOL FOR HLTH CARER/SER , 28, 385, 417, 373]' on port 9999. Hit CTRL-c to stop.
2024-05-15 12:39:10,619 - INFO - Sent: b'[06M540, A Philip Randolph Campus High School , 193, 436, 451, 421]' on port 9999. Hit CTRL-c to stop.
